Order ID,Order Date,Customer Name,City,Category,Sub Category,Product,Quantity,Unit Price,Sales,Discount,Profit,Payment Mode,Rating
ORD1000,01-01-2025,Customer_289,Mumbai,Furniture,Sofa,Sofa Set,5,48692,243460,0.15,23670,COD,4
ORD1001,28-02-2025,Customer_282,Delhi,Furniture,Table,Dining Table,2,26616,53232,0.15,6642,COD,5
ORD1002,15-01-2025,Customer_145,Mumbai,Electronics,Laptop,Laptop Pro,5,47006,235030,0.15,30980,COD,4
ORD1003,14-02-2025,Customer_171,Delhi,Clothing,Shirt,Formal Shirt,4,3404,13616,0.2,1729,COD,4
ORD1004,01-01-2025,Customer_205,Bangalore,Furniture,Chair,Office Chair,2,18888,37776,0.05,6854,Credit Card,1
ORD1005,23-01-2025,Customer_36,Delhi,Furniture,Table,Dining Table,5,26484,132420,0.2,11839,Credit Card,2
ORD1006,08-02-2025,Customer_7,Mumbai,Electronics,Tablet,Tablet Z,3,22941,68823,0.2,4475,UPI,1
ORD1007,06-01-2025,Customer_53,Chennai,Clothing,Shirt,Formal Shirt,5,28057,140285,0.15,8453,COD,4
ORD1008,14-02-2025,Customer_239,Delhi,Clothing,Shirt,Casual Shirt,1,22082,22082,0.05,2572,Credit Card,4
ORD1009,20-02-2025,Customer_11,Kolkata,Electronics,Tablet,Tablet Z,4,6018,24072,0.2,2690,COD,2
ORD1010,22-01-2025,Customer_7,Chennai,Furniture,Sofa,Sofa Set,5,24714,123570,0.1,20243,UPI,2
ORD1011,29-01-2025,Customer_77,Mumbai,Furniture,Chair,Office Chair,4,36459,145836,0.05,22257,COD,2
ORD1012,10-02-2025,Customer_194,Bangalore,Furniture,Sofa,Sofa Set,4,25388,101552,0.1,6913,COD,2
ORD1013,30-01-2025,Customer_171,Bangalore,Furniture,Sofa,Sofa Set,1,32598,32598,0.05,5533,COD,2
ORD1014,24-01-2025,Customer_74,Delhi,Furniture,Sofa,Sofa Set,3,13400,40200,0.2,2155,UPI,5
ORD1015,06-02-2025,Customer_262,Delhi,Furniture,Sofa,Sofa Set,1,36731,36731,0.15,4104,Credit Card,2
ORD1016,30-01-2025,Customer_226,Kolkata,Furniture,Table,Dining Table,4,26083,104332,0.1,7072,Credit Card,5
ORD1017,24-02-2025,Customer_18,Bangalore,Electronics,Laptop,Laptop Pro,4,10222,40888,0.15,3813,UPI,5
ORD1018,26-01-2025,Customer_299,Bangalore,Clothing,Shirt,Formal Shirt,1,41714,41714,0.15,7021,COD,5
ORD1019,10-02-2025,Customer_246,Delhi,Furniture,Table,Dining Table,1,3693,3693,0.05,438,COD,3
